104 50 106 209 66 10 207 32 23 158 223 635 220 73 14 9 188 196
119 54 106 220 65 12 213 31 24 167 223 675 232 66 20 1 192 202
108 53 103 202 64 10 220 30 25 168 224 711 214 73 11 10 188 199
109 53 109 221 69 12 221 31 25 169 226 712 212 72 13 28 188 201
100 46 104 184 60 9 197 34 23 147 222 578 198 73 13 13 189 197
97 42 101 186 59 9 186 36 22 138 208 511 168 67 7 41 194 206
102 54 106 221 68 11 207 32 24 164 228 638 238 71 0 26 189 200
103 46 106 209 66 10 203 33 23 149 217 612 210 70 9 10 191 199
92 37 86 167 60 7 158 42 20 131 181 373 144 68 9 21 190 196
112 50 110 186 56 11 214 31 24 159 232 676 203 71 18 27 191 202
116 53 110 231 67 12 217 31 24 165 231 692 222 67 16 28 192 206
88 37 57 132 62 6 135 50 18 125 151 265 144 83 16 16 180 184
106 48 107 202 61 10 207 32 24 153 227 635 200 70 5 28 190 203
109 54 103 205 63 11 222 30 25 175 229 720 213 71 6 14 187 200
117 52 110 228 65 12 212 31 24 163 228 668 220 66 21 25 194 205
109 49 109 193 59 10 207 32 24 156 225 635 213 70 13 31 191 202
108 54 105 203 62 11 202 33 23 164 216 608 235 68 12 3 190 200
104 51 108 193 59 11 217 31 24 163 232 694 203 72 15 22 190 201
107 53 108 213 64 12 206 32 23 163 216 627 202 65 21 22 194 205
112 50 104 197 58 11 208 32 24 159 223 639 186 67 15 22 191 202
105 51 108 201 62 11 220 30 25 163 232 711 202 72 12 16 189 200
115 53 100 205 64 11 220 30 25 166 229 710 214 71 21 11 189 199
107 54 108 228 68 12 218 31 25 170 223 700 224 67 13 25 190 204
107 51 103 182 56 11 213 31 24 162 226 673 217 72 2 4 188 198
90 39 89 181 62 8 175 38 21 132 200 458 154 70 11 15 189 195
101 48 85 191 60 11 175 38 21 153 192 458 187 62 5 22 197 210
108 54 103 212 65 11 208 32 24 162 228 648 240 71 9 0 189 197
91 40 83 166 60 8 160 41 20 133 189 383 155 72 5 7 186 191
105 53 108 206 63 12 222 31 25 168 226 712 201 71 15 35 189 203
109 54 103 220 66 11 214 31 24 167 229 677 212 70 1 23 188 201
109 53 103 210 63 11 219 30 25 172 229 707 212 71 6 3 188 199
108 53 104 181 56 11 220 31 25 167 226 712 214 72 15 18 189 199
96 40 100 178 58 8 181 37 21 134 205 486 160 68 5 34 192 202
106 52 108 207 64 12 221 31 25 168 229 709 200 73 22 38 190 205
105 53 105 184 57 11 211 31 24 168 224 661 218 71 0 15 186 197
110 53 104 223 66 10 211 32 24 164 223 659 210 67 5 16 190 203
108 49 103 200 62 10 206 32 23 155 227 635 215 72 6 16 189 198
110 54 102 201 64 11 213 31 24 171 222 669 221 73 17 16 188 198
104 53 101 199 65 11 213 31 24 168 216 667 221 72 12 12 187 198
109 52 104 199 60 12 215 31 24 162 220 691 212 67 11 7 189 199
111 50 103 199 60 11 211 31 24 156 223 663 188 68 9 9 190 200
115 52 100 203 62 10 217 31 24 165 229 697 214 72 14 4 188 197
90 39 85 160 59 7 163 41 20 131 189 396 158 71 7 13 186 192
111 53 108 211 61 11 207 32 23 167 217 636 216 64 21 2 196 205
104 53 108 204 64 11 220 31 25 172 226 707 203 71 14 30 189 203
108 49 109 204 61 11 212 31 24 159 229 665 215 71 16 11 190 199
107 54 98 203 65 11 218 31 25 167 229 696 216 72 1 28 187 199
80 38 63 129 55 7 146 46 19 130 168 314 158 83 9 20 180 185
93 37 76 183 63 8 164 40 20 134 191 405 139 67 4 7 192 197
91 45 79 176 59 9 163 40 20 148 184 404 179 62 0 10 199 208
78 38 63 115 51 6 142 47 19 130 162 299 146 77 2 4 181 185
97 44 96 195 63 9 185 36 22 144 202 512 165 66 4 8 191 199
104 55 107 222 68 11 218 31 24 173 232 703 229 71 3 10 188 199
104 52 100 191 59 9 197 33 23 158 218 583 234 70 10 10 191 198
89 37 54 119 53 5 134 50 18 127 151 266 146 79 16 14 184 185
90 36 57 130 57 6 121 56 17 127 137 216 132 68 22 23 190 195
88 37 63 130 58 5 125 54 18 130 141 230 145 74 14 20 184 188
90 37 80 171 58 9 157 42 20 132 172 373 115 60 3 18 201 209
104 50 96 211 65 10 187 35 22 156 207 527 195 65 3 7 195 206
106 49 106 211 64 9 208 32 24 158 224 645 184 68 1 24 190 202
87 39 74 152 58 6 151 44 19 136 174 337 140 70 1 33 187 196
92 36 78 165 57 8 153 43 19 128 169 349 124 60 4 19 203 211
110 51 104 191 57 12 213 31 24 162 226 674 190 68 18 2 191 199
84 35 53 122 57 4 116 59 17 123 135 196 128 76 10 27 183 190
107 56 104 231 71 11 219 31 25 172 226 705 217 71 19 11 189 196
107 54 98 210 66 11 218 31 24 169 221 704 216 71 14 0 188 197
105 54 106 215 68 10 208 32 24 166 217 640 218 69 14 23 189 199
85 33 40 115 57 3 112 61 17 119 130 184 127 86 12 21 181 183
101 55 108 228 69 12 215 31 24 168 229 684 214 71 2 16 188 199
99 48 104 196 63 10 201 33 23 152 221 604 199 73 8 4 188 197
100 46 81 187 61 9 166 40 20 154 189 415 175 63 13 9 198 207
93 47 88 200 66 7 173 38 21 151 197 452 205 66 0 3 195 202
109 54 109 225 68 11 214 31 24 169 226 675 212 68 11 32 189 202
91 40 98 192 64 9 177 38 21 135 194 465 165 66 9 35 195 205
90 50 90 188 61 10 181 36 21 158 211 492 220 69 6 19 191 199
95 45 105 208 64 10 187 36 22 150 202 520 158 64 7 32 198 211
105 54 100 220 69 10 221 30 25 170 232 718 202 73 0 13 187 199
98 51 96 203 66 10 188 35 22 157 207 533 231 68 10 1 191 199
94 38 88 179 60 7 170 39 21 131 188 435 144 66 2 28 195 204
89 38 80 169 59 7 161 41 20 131 186 389 137 68 5 15 192 197
83 37 54 131 61 4 135 50 18 127 152 271 141 85 3 6 180 183
88 38 58 137 60 5 148 46 19 131 163 319 157 86 12 0 180 183
108 52 109 182 55 12 216 31 24 171 229 687 214 72 10 28 189 201
101 46 105 195 61 10 198 34 23 150 213 578 195 66 7 38 192 205
95 47 81 176 59 7 168 39 20 152 196 425 185 67 4 4 191 198
82 37 59 134 63 7 135 51 18 128 151 264 143 82 11 24 179 185
91 38 75 136 53 6 144 47 19 131 165 305 149 69 1 7 186 191
104 53 108 206 61 11 217 31 24 168 226 694 209 67 0 9 188 201
104 51 105 168 54 10 208 32 24 162 220 641 221 72 9 20 187 197
98 47 109 202 59 11 199 34 23 154 207 586 165 61 1 33 194 208
101 51 98 194 60 10 195 34 22 161 219 572 219 67 0 10 192 201
98 42 90 192 61 9 178 37 21 144 189 480 138 61 3 8 199 208
108 54 109 189 57 11 220 31 25 174 229 709 214 70 12 23 189 201
91 39 72 133 55 7 146 46 19 132 170 314 149 77 9 18 184 189
89 40 89 174 58 8 177 37 21 133 202 471 155 70 7 18 189 196
92 45 76 162 57 7 159 41 20 147 184 381 177 69 8 10 190 195
97 44 95 202 66 9 188 35 22 144 216 526 175 72 15 11 190 197
93 39 86 180 59 9 167 39 20 134 186 418 129 63 6 17 197 204
113 48 98 208 62 9 203 33 23 151 216 613 183 64 17 29 193 204
86 40 66 138 59 4 137 49 18 133 162 279 151 74 6 14 186 190
113 53 93 197 62 11 216 31 24 165 221 688 196 72 6 25 188 199
85 33 50 104 53 4 115 59 17 118 136 193 127 83 1 30 179 185
84 36 75 136 55 6 140 48 18 125 166 290 138 71 4 36 189 195
104 53 101 190 63 10 213 32 24 166 218 664 202 74 13 21 188 198
96 41 69 153 56 7 141 47 18 141 162 297 169 61 11 8 202 209
